timestep,reference_speed,predicted_speed,lead_speed,distance,speed_error,distance_error,speed_diff,reward,action,jerk
0,13.3869505,1.6441088,0.0,18.355892,11.742842,0.0,1.644108772277832,-11.989458394262343,1.6441088,1.6441088
1,10.964303,3.262762,10.913334382259801,26.006464,7.701541,0.0,7.650572312557653,-7.785019169597618,1.6186533,-0.025455475
2,7.3939924,4.8129272,6.764704660711519,27.95824,2.5810652,0.0,1.9517774146177693,-2.66542237151633,1.5501652,-0.06848812
3,12.477989,6.030911,13.116730712528724,35.04406,6.447078,5.044059753417969,7.085819743748207,-16.629317355572447,1.2179837,-0.33218145
4,6.8018136,7.665043,7.218200054957883,34.597218,0.8632293,4.597217559814453,0.44684282223938254,-10.18098644725285,1.6341317,0.41614795
5,13.040976,8.686771,13.514633325078755,39.42508,4.354204,9.425079345703125,4.827861932256489,-23.316690040701232,1.021729,-0.6124027
6,10.822216,10.314629,11.32555454288051,40.436005,0.50758743,10.436004638671875,1.010925941806292,-21.52160434699629,1.6278577,0.6061287
7,11.147914,11.699034,11.528835572374362,40.26581,0.5511198,10.26580810546875,0.17019816480825511,-21.176300592968552,1.3844054,-0.24345231
8,9.367934,13.032459,9.859281957264031,37.09263,3.664525,7.092628479003906,3.1731773017691722,-17.921554561726992,1.3334253,-0.05098009
9,12.524674,13.9883995,12.55961675384566,35.66385,1.4637251,5.663848876953125,1.4287827517695746,-12.876965760172462,0.95594025,-0.37748504
10,11.411423,15.282589,11.663073108067294,32.04433,3.8711662,2.044330596923828,3.61951585067294,-8.058364144266433,1.294189,0.33824873
11,15.266381,16.278053,15.55895707046649,31.325235,1.011672,1.325235366821289,0.7190962132249155,-3.741788501683766,0.9954636,-0.29872537
12,9.507225,17.521856,10.179948063572425,23.983328,8.014631,0.0,7.341908244410973,-8.10165533036692,1.2438035,0.24833989
13,8.247376,17.207191,8.796557153253758,15.572693,8.959815,0.0,8.410634314031398,-9.13139544172008,-0.31466424,-1.5584677
14,8.869877,15.8491335,8.445169518781029,8.168729,6.9792566,0.0,7.4039639727350846,-7.15149854093546,-1.3580576,-1.0433934
15,13.332431,14.25415,14.060962958961738,7.9755416,0.92171955,0.0,0.19318743166326158,-1.0251609313318113,-1.594983,-0.23692536
16,10.408146,12.665854,11.741789768331046,7.051477,2.2577085,0.0,0.9240646857094816,-2.3377920229909925,-1.588296,0.006686926
17,10.5973,11.194276,11.185551913808666,7.0427527,0.5969763,0.0,0.008723942209400093,-0.6822274216518505,-1.4715788,0.11671722
18,12.779113,9.864241,14.121800180629634,11.300312,2.9148722,0.0,4.25755953426733,-2.9955282572529836,-1.3300349,0.14154398
19,9.553498,9.542161,10.910875569105087,12.669027,0.01133728,0.0,1.3687145812510835,-0.12823682831961847,-0.3220799,1.007955
20,10.115922,9.522098,11.119895931481977,14.266826,0.5938244,0.0,1.5977983438965282,-0.6250287924014213,-0.0200634,0.3020165
21,12.704485,9.892866,13.16629809950436,17.540257,2.8116188,0.0,3.273431964860805,-2.869240361453569,0.37076855,0.39083195
