timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-929.1409,8.65312700724845,460.15178017163163,1.3570428
200,-197.46184,3.5733145551649743,96.81958913567276,1.606409
300,-57.94322,3.711525841630189,27.029729524663363,1.1859696
400,-159.5428,6.014462358485462,76.68195824325485,1.1621199
500,-867.4233,10.533474280022553,428.353236106531,1.3227823
600,-1218.339,11.393601997862762,603.3681733801243,1.4012687
700,-402.95,6.236477538798405,198.26260355953323,1.2671442
800,-609.3682,9.076274572875935,300.058786906511,1.2246202
900,-4479.7583,25.806386989271086,2226.884233001316,1.1047492
1000,-9106.099,39.95794412472775,4532.989987127933,0.78388625
1100,-56.581314,3.5987809555303945,26.409124435130785,1.115136
1200,-26.995527,3.2858114988350327,11.772609372870447,1.15853
