timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-773.3566,7.054111499801575,383.0675075830118,1.1706569
200,-11262.072,41.532179894841775,5610.180389106319,0.9384124
300,-4739.8706,28.361551021534233,2355.6703129870457,0.8837406
400,-120.31511,4.474157440990012,57.8270585336659,1.3276945
500,-1410.6383,13.069228813644909,698.7295434002095,0.20668018
600,-175.14546,8.43815532667297,83.28030850327133,0.6590882
700,-8.048267,3.1253463489731326,2.3788942038644656,1.096029
800,-25.117962,4.9700601592708145,10.006430018317914,0.60669625
900,-20.19045,4.830736903845693,7.611123843423975,0.6150392
1000,-2.734752,2.1133320933842885,0.236471170452578,0.97496873
1100,-4.399636,2.506264849737985,0.8704732704605885,0.9537361
1200,-2.7791605,2.3099262943531147,0.1607397243390278,0.90782326
