timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-1007.66943,9.116527113797144,499.18860911742064,1.2820697
200,-2874.761,12.022533684007442,1431.2419591267817,1.7308321
300,-254.34605,5.0497621704685,124.57124017721122,1.1053288
400,-4255.925,20.345146923461723,2117.7004678199055,1.217187
500,-1686.4884,15.137522963262214,835.5816815296342,1.336636
600,-1086.3726,6.189113734425534,540.0012707741256,1.2453917
700,-245.78918,5.303174633495064,120.15554182020091,1.2158768
800,-543.37384,7.712499172004828,267.75532088884427,0.90100133
900,-82.640945,2.8930538390580494,39.77989762245525,1.3570302
1000,-513.7346,7.593761911148394,252.99114523930214,0.944991
1100,-164.01651,4.491521679064709,79.68175882427566,1.0046265
1200,-11.712189,3.1916819157162024,4.190592735215233,0.76729065
