timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-209.89609,3.486031201062622,103.10182800251732,1.5284166
200,-5071.551,15.921837774805885,2527.70738459588,1.4475049
300,-674.0822,6.8561624102526615,333.5261874714039,1.2487102
400,-315.39328,5.871634042145783,154.68057442333892,1.1663412
500,-97.48529,4.263108967691264,46.52074834100358,1.3052424
600,-855.04175,6.511720196967807,424.17518029948036,1.2477971
700,-246.03333,6.085184246929669,119.8850923734359,1.1952461
800,-254.63554,4.018957330154209,125.2172899465969,1.2453763
900,-39.83461,3.3212003908393712,18.164489366661524,1.2773471
1000,-16.186682,3.7259447367539416,6.150483557676271,0.9859328
1100,-17.059185,3.65220245533383,6.620341220706723,1.0104207
1200,-15.788125,3.773760815888561,5.9311879221713415,0.86178887
