timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-968.45276,7.920523571856359,480.17582924129135,1.3199033
200,-297.4662,4.369613838065906,146.43794858088557,1.600494
300,-864.115,10.416514763085445,426.77600175909845,0.7909003
400,-694.76306,6.481883440513584,344.07117774690926,0.71108633
500,-1323.015,11.926156574867202,655.4741341694265,0.6236129
600,-1209.1053,11.932724579118009,598.495394852177,1.2372931
700,-555.3221,5.453508487834817,274.8446295054132,1.2839569
800,-911.69836,6.2688114304326135,452.6160480635707,1.2338879
900,-251.26453,4.1308389520587845,123.4802098680661,1.124611
1000,-897.7363,4.9294546874283895,446.3329414429884,0.9037077
1100,-5991.183,12.36408544378249,2989.2984627685223,1.4546063
1200,-534.97705,7.949906401737655,263.4398799204079,0.6463721
