timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-757.3493,7.152588143237936,375.00808707047076,1.3209249
200,-1260.0392,5.305395829845123,627.2404513524694,1.6204149
300,-332.3609,5.66150784254968,163.204161663929,1.9919901
400,-1077.3486,12.183545509127805,532.4379954483558,1.9300966
500,-561.2742,11.45825282487682,274.7517531579536,2.2007117
600,-421.41312,5.283565231706501,207.93453012911414,1.6536099
700,-1299.0175,9.351284072465035,644.7120527067882,1.493473
800,-162.06201,5.196593225345189,78.30192025356774,1.749992
900,-216.16664,7.008642097714511,104.47991874244335,1.1385322
1000,-87.7011,4.136126001321331,41.63452210634027,2.016147
1100,-859.3907,12.320487660937376,423.4250972892328,1.2994711
1200,-94.28603,5.343660619210148,44.377143148342014,1.1643717
