timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-813.4782,8.62276161084003,402.34077111182626,1.2430906
200,-2595.3662,8.311192786867105,1293.4055153523493,1.552893
300,-216.9405,6.562483287458657,105.05252394870901,1.8591626
400,-455.3722,7.746174826527789,223.69356368329755,1.4798645
500,-135.36563,2.9966391736369093,66.07586210438473,1.3993837
600,-314.62057,7.6633834550385815,153.36930112899196,1.3187294
700,-125.661194,5.86422455405499,59.78926475188719,1.3613687
800,-22.557808,3.4720345349148407,9.467550109495333,0.90497756
900,-5.4293423,2.250662883385975,1.4961427035708403,1.3491642
1000,-7.442923,2.1550802562798164,2.554850995126485,1.2418474
1100,-3.1777177,2.269026379206985,0.3652014189453985,1.2556236
1200,-2.986099,2.230723296670145,0.2715293301213933,1.5304719
