timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-208.77084,4.516777270030002,102.04107043869743,1.2337977
200,-808.5521,6.0103651219040835,401.1668307787963,1.5534346
300,-358.07532,4.128213672317516,176.88367789449438,1.306119
400,-666.2975,6.305128833971269,329.91056576704824,1.2561284
500,-837.0248,9.738280506269554,413.5515793846898,1.3291861
600,-451.6908,4.51137691512512,223.49037672306477,1.4474771
700,-1335.6364,12.289138844295273,661.579118484849,1.3561994
800,-126.657646,4.059601416356013,61.21220125065285,1.2462367
900,-728.969,8.960385731330069,359.9150649293772,1.2814904
1000,-635.7237,10.458220642008735,312.5425959034913,1.2992237
1100,-608.1731,5.562444056310435,301.21146888744227,1.3586377
1200,-357.57544,3.9824441856430557,176.69897729577767,1.4260782
