timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-414.13367,4.173376686007975,204.89251735564423,1.2563825
200,-1112.9773,11.001002813961886,550.908396120152,0.94800276
300,-1218.2406,10.630004390020979,603.7252714929725,0.7056261
400,-580.2958,10.44034157433717,284.84386387838214,0.97469
500,-1850.134,16.324671895073276,916.8261856105808,0.6882007
600,-27105.273,89.01252437036094,13508.076665520874,0.029249921
700,-29182.936,90.17338819714088,14546.326871476502,0.09573244
800,-24777.555,80.33796698408773,12348.553533186605,0.1047086
900,-20534.002,73.41468657943014,10230.23819929787,0.13989167
1000,-10.465982,2.8543896558764295,3.729634614861043,0.98355377
1100,-7.558783,2.469496299895861,2.4846375560374327,0.7584302
1200,-2.491896,2.245518297254423,0.03612610176318412,1.2457111
