timestep,reference_speed,predicted_speed,lead_speed,distance,speed_error,distance_error,speed_diff,reward,action,jerk
0,10.376627,1.8522944,0.0,18.147705,8.524332,0.0,1.8522944450378418,-8.802176427974326,1.8522944,1.8522944
1,10.1805105,3.6571229,0.0,23.86206,6.523388,0.0,3.657122850418091,-6.618375611453752,1.8048284,-0.04746604
2,9.73673,5.4482164,0.0,27.21505,4.288513,0.0,5.448216438293457,-4.379441008291986,1.7910933,-0.013735056
3,8.20813,7.231341,0.0,28.03664,0.976789,0.0,7.2313408851623535,-1.0667419258038322,1.7831244,-0.007968903
4,10.633864,8.929042,0.0,29.75722,1.7048225,0.0,8.929041862487793,-1.7982500082843007,1.6977012,-0.08542323
5,8.170022,10.695824,0.0,26.782026,2.5258017,0.0,10.695823669433594,-2.6210487385832586,1.7667823,0.06908107
6,11.651374,12.226303,0.0,26.542427,0.57492924,0.0,12.226303100585938,-0.6750830842840863,1.5304797,-0.23630261
7,9.650452,13.822991,0.0,23.156784,4.1725397,0.0,13.822991371154785,-4.258995000692503,1.5966883,0.0662086
8,10.832069,14.832018,0.0,19.34688,3.9999485,0.0,14.83201789855957,-4.10916572277276,1.009027,-0.58766127
9,12.987956,14.805735,0.0,17.43107,1.8177786,0.0,14.805734634399414,-1.9226240142585151,-0.026283622,-1.0353106
10,9.436889,14.360604,0.0,13.975676,4.9237156,0.0,14.360604286193848,-4.987857095033268,-0.44513047,-0.41884685
11,9.58168,12.891641,0.0,11.098608,3.3099604,0.0,12.891640663146973,-3.485791592337465,-1.4689635,-1.023833
12,11.532428,11.277578,0.0,11.335838,0.25484943,0.0,11.277578353881836,-0.35006273857909953,-1.6140624,-0.14509892
13,10.419477,10.262944,0.0,12.617415,0.15653324,0.0,10.262944221496582,-0.26720792022906537,-1.0146338,0.59942865
14,10.217692,10.093457,0.0,14.198802,0.12423515,0.0,10.093457221984863,-0.21722380282215248,-0.169487,0.8451468
15,8.254367,10.513212,0.0,12.5024805,2.2588453,0.0,10.513212203979492,-2.3387569106336414,0.41975546,0.58924246
16,9.582747,10.149622,0.0,12.631935,0.5668745,0.0,10.149621963500977,-0.6633886693153705,-0.36359,-0.78334546
17,10.990226,10.05193,0.0,14.137568,0.93829536,0.0,10.05193042755127,-0.9697694858299837,-0.0976913,0.2658987
18,11.133727,10.438692,0.0,15.604647,0.695035,0.0,10.438692092895508,-0.76281855882916,0.3867612,0.4844525
19,11.984116,11.116944,0.0,16.794147,0.8671713,0.0,11.116944313049316,-0.9302334205667666,0.6782522,0.29149103
20,9.886696,11.877534,0.0,14.147252,1.990838,0.0,11.877533912658691,-2.0371012091997613,0.76058936,0.08233714
21,10.109074,11.52756,0.0,13.844967,1.4184866,0.0,11.527560234069824,-1.5470418123232879,-0.34997356,-1.1105629
22,11.217087,11.247776,0.0,13.788976,0.03068924,0.0,11.24777603149414,-0.05169711883482542,-0.27978384,0.070189714
23,10.061515,11.061477,0.0,14.181147,0.99996185,0.0,11.061476707458496,-1.0186256034347512,-0.18629932,0.09348452
24,8.786966,11.097199,0.0,13.206388,2.310233,0.0,11.097199440002441,-2.3342218735891738,0.03572297,0.2220223
25,13.463635,10.730919,0.0,18.014137,2.7327166,0.0,10.730918884277344,-2.791230915388697,-0.36628032,-0.4020033
26,10.627909,11.824165,0.0,17.936737,1.1962566,0.0,11.824165344238281,-1.3968717668615938,1.0932465,1.4595268
27,10.255006,12.570718,0.0,16.191034,2.315712,0.0,12.570717811584473,-2.3877093377913017,0.74655247,-0.346694
28,14.399386,12.581655,0.0,19.478584,1.8177319,0.0,12.58165454864502,-1.8918403260979932,0.010936737,-0.73561573
29,18.715137,13.529052,0.0,25.301966,5.1860857,0.0,13.529051780700684,-5.327101779060534,0.947397,0.93646026
30,15.488965,15.115523,0.0,26.90659,0.3734417,0.0,15.115523338317871,-0.5166725498802354,1.5864713,0.6390743
31,14.235942,16.599102,0.0,26.073542,2.3631601,0.0,16.599102020263672,-2.4476286516063013,1.4835782,-0.102893114
32,10.827954,17.709024,0.0,21.166967,6.88107,0.0,17.70902442932129,-6.973931638106787,1.1099224,-0.3736558
33,10.884999,16.870926,0.0,15.491036,5.9859266,0.0,16.870925903320312,-6.22263381328837,-0.8380995,-1.9480219
34,14.427533,15.145804,0.0,15.559364,0.71827126,0.0,15.145804405212402,-0.8932300425908029,-1.7251219,-0.8870224
35,13.390434,13.970523,0.0,16.287243,0.5800886,0.0,13.9705228805542,-0.6938369679082026,-1.1752818,0.5498401
36,12.970725,13.463543,0.0,16.51694,0.49281788,0.0,13.463542938232422,-0.584996654939749,-0.50697947,0.6683023
37,13.207296,13.275977,0.0,17.377874,0.06868076,0.0,13.27597713470459,-0.11000047862204632,-0.18756557,0.3194139
38,16.663692,13.461318,0.0,21.282927,3.2023745,0.0,13.461318016052246,-3.2489319658908613,0.18534064,0.3729062
39,12.96231,14.549025,0.0,20.464022,1.5867147,0.0,14.54902458190918,-1.7313365970981707,1.0877066,0.9023659
40,13.550055,15.128719,0.0,20.16888,1.5786648,0.0,15.128719329833984,-1.6584511547417495,0.57969475,-0.5080118
41,14.141882,15.439093,0.0,19.197435,1.2972107,0.0,15.439092636108398,-1.339661111986116,0.3103733,-0.26932144
42,16.192444,15.3285675,0.0,21.334984,0.86387634,0.0,15.328567504882812,-0.9114931515638034,-0.11052501,-0.42089832
43,16.20408,15.907371,0.0,22.977535,0.29671,0.0,15.907370567321777,-0.3945823733532059,0.57880306,0.6893281
44,15.212993,16.731445,0.0,22.030258,1.5184526,0.0,16.7314453125,-1.5841836167979757,0.8240745,0.24527144
45,14.37523,17.001377,0.0,20.016966,2.6261473,0.0,17.00137710571289,-2.6950585757403918,0.26993155,-0.55414295
46,12.160158,16.506334,0.0,16.947828,4.346176,0.0,16.50633430480957,-4.447425732644366,-0.49504304,-0.7649746
47,13.114991,15.169188,0.0,15.734693,2.0541964,0.0,15.169187545776367,-2.2052643508763694,-1.3371472,-0.8421042
48,12.716949,14.036043,0.0,14.869463,1.3190937,0.0,14.036043167114258,-1.3961516926386146,-1.133144,0.20400321
49,11.058345,13.062929,0.0,12.991735,2.0045843,0.0,13.062929153442383,-2.0692432181582205,-0.97311354,0.16003048
50,13.99606,11.868161,0.0,15.22823,2.1278992,0.0,11.86816120147705,-2.2098026756154514,-1.1947681,-0.22165453
51,11.884526,11.8771305,0.0,15.605016,0.0073957443,0.0,11.877130508422852,-0.12821772038500434,0.00896883,1.2037369
52,15.638413,12.050739,0.0,19.701315,3.5876741,0.0,12.050739288330078,-3.612818084017091,0.17360854,0.16463971
53,13.134371,13.162519,0.0,19.879292,0.028148651,0.0,13.162519454956055,-0.17755450313392984,1.1117806,0.9381721
54,13.704938,14.035936,0.0,19.08036,0.33099842,0.0,14.03593635559082,-0.3985053071731137,0.8734164,-0.23836422
55,15.477122,14.451093,0.0,20.504543,1.0260296,0.0,14.451092720031738,-1.092613343023812,0.41515636,-0.45826006
56,13.528934,15.099601,0.0,19.44394,1.5706673,0.0,15.099600791931152,-1.6264282538668464,0.64850783,0.23335147
57,14.644149,15.194574,0.0,19.000187,0.5504255,0.0,15.194574356079102,-0.6105271507391716,0.09497404,-0.5535338
58,15.168256,15.125594,0.0,19.296135,0.042661667,0.0,15.125594139099121,-0.06250595905213885,-0.06897998,-0.16395402
59,13.736702,15.184666,0.0,18.158295,1.4479637,0.0,15.18466567993164,-1.4637222083236558,0.05907154,0.12805152
60,16.225494,14.827639,0.0,20.72363,1.3978558,0.0,14.827638626098633,-1.4573164822618239,-0.35702693,-0.41609848
61,15.597389,15.390341,0.0,21.040346,0.20704842,0.0,15.390340805053711,-0.3271559499805008,0.56270194,0.9197289
62,14.219047,15.880173,0.0,19.982302,1.6611261,0.0,15.880172729492188,-1.6929048334024284,0.48983192,-0.072870016
63,13.349449,15.835206,0.0,18.075989,2.4857569,0.0,15.835206031799316,-2.5414849579464907,-0.04496634,-0.53479826
64,16.06283,15.176611,0.0,19.760948,0.886219,0.0,15.176610946655273,-0.9805112395118769,-0.6585946,-0.61362827
65,11.444091,15.334155,0.0,15.658526,3.8900642,0.0,15.334155082702637,-3.979554987357224,0.15754414,0.81613874
66,17.137753,14.039406,0.0,18.510197,3.0983467,0.0,14.039405822753906,-3.3083143326396502,-1.2947497,-1.4522939
67,14.715215,14.212973,0.0,18.93196,0.5022421,0.0,14.212972640991211,-0.6577524471780052,0.17356682,1.4683166
68,12.355273,14.502023,0.0,15.931604,2.1467495,0.0,14.502022743225098,-2.1727504430621956,0.2890501,0.115483284
69,14.115446,13.676805,0.0,15.123549,0.43864155,0.0,13.676804542541504,-0.5913288668390422,-0.8252182,-1.1142683
70,13.470386,12.882175,0.0,15.558675,0.5882101,0.0,12.88217544555664,-0.6310007470052863,-0.7946286,0.03058958
71,13.184856,12.572009,0.0,16.035595,0.6128473,0.0,12.572009086608887,-0.6768020039977323,-0.31016612,0.4844625
72,17.93645,12.581909,0.0,20.807512,5.35454,0.0,12.5819091796875,-5.387040836695839,0.0099003315,0.32006645
73,16.50941,13.806957,0.0,22.106155,2.7024536,0.0,13.806957244873047,-2.885219935282038,1.2250485,1.2151482
74,17.70435,14.960979,0.0,23.92485,2.74337,0.0,14.960979461669922,-2.8081746656264066,1.1540222,-0.071026325
75,15.259498,16.18327,0.0,22.019653,0.92377186,0.0,16.183269500732422,-0.9917127909372336,1.2222898,0.068267584
76,16.472607,16.672155,0.0,20.103579,0.19954872,0.0,16.672155380249023,-0.2973342600733915,0.48888588,-0.7334039
77,16.27117,16.316113,0.0,19.951693,0.044942856,0.0,16.316112518310547,-0.1472387354863578,-0.3560431,-0.844929
78,15.4972105,16.066475,0.0,18.500221,0.5692644,0.0,16.06647491455078,-0.5923864633423239,-0.24963665,0.10640645
79,12.422897,15.415749,0.0,13.940291,2.9928513,0.0,15.415748596191406,-3.0654964645983664,-0.6507261,-0.40108943
80,20.981712,13.792464,0.0,19.954302,7.189248,0.0,13.792464256286621,-7.367668261683207,-1.623284,-0.9725579
81,14.651997,14.559317,0.0,19.912922,0.09267998,0.0,14.559316635131836,-0.3700358312414629,0.76685286,2.3901367
82,14.534906,15.023806,0.0,18.26797,0.48889923,0.0,15.023805618286133,-0.5423599625402868,0.46448874,-0.3023641
83,18.016758,14.76033,0.0,20.831343,3.2564278,0.0,14.760330200195312,-3.3423983603287475,-0.26347506,-0.7279638
84,12.1884985,15.358604,0.0,16.508522,3.170106,0.0,15.358604431152344,-3.286195008764338,0.5982747,0.86174977
85,14.44237,14.347237,0.0,15.678237,0.09513378,0.0,14.347236633300781,-0.3066664610759595,-1.0113679,-1.6096426
86,14.028199,13.46536,0.0,14.913771,0.5628395,0.0,13.465359687805176,-0.6198827098522983,-0.8818772,0.12949073
87,17.094925,12.690601,0.0,17.5703,4.4043236,0.0,12.690601348876953,-4.45377393862648,-0.7747588,0.10711837
88,12.952246,13.118112,0.0,15.742951,0.1658659,0.0,13.118111610412598,-0.30746804211852385,0.42751002,1.2022688
89,11.519457,12.790733,0.0,12.993915,1.2712765,0.0,12.790733337402344,-1.3631338558498012,-0.32737803,-0.75488806
90,15.608327,11.716457,0.0,16.372328,3.8918695,0.0,11.71645736694336,-4.020273578168739,-1.0742763,-0.7468983
91,16.434366,12.152102,0.0,19.94989,4.2822638,0.0,12.15210247039795,-4.455038579136392,0.43564534,1.5099217
92,14.039914,13.301789,0.0,19.531603,0.73812485,0.0,13.301789283752441,-0.8670131231036997,1.1496866,0.71404123
93,16.34301,14.075335,0.0,21.384644,2.2676754,0.0,14.075334548950195,-2.3439673611811607,0.7735448,-0.3761418
94,12.880136,15.029227,0.0,19.100988,2.1490917,0.0,15.029227256774902,-2.214821267961584,0.95389247,0.18034768
95,13.184123,15.036739,0.0,15.44713,1.8526163,0.0,15.036739349365234,-1.9476303534646497,0.0075120926,-0.9463804
96,12.331035,13.873921,0.0,14.562742,1.5428867,0.0,13.873921394348145,-1.7180602833552925,-1.1628176,-1.1703297
97,8.866191,12.87073,0.0,10.02748,4.0045395,0.0,12.87073040008545,-4.070662158495974,-1.0031908,0.15962684
98,13.456038,11.120849,0.0,11.093007,2.3351898,0.0,11.120848655700684,-2.497352677771639,-1.749882,-0.7466912
99,11.425747,10.204141,0.0,12.220044,1.2216063,0.0,10.204140663146973,-1.3507589545300167,-0.916708,0.833174
100,9.970224,9.925387,0.0,10.509356,0.044836998,0.0,9.925387382507324,-0.12257020528847562,-0.2787534,0.6379546
101,12.276435,9.170174,0.0,12.618649,3.1062613,0.0,9.170173645019531,-3.1916680106052446,-0.755214,-0.47646058
102,16.581512,9.455852,0.0,19.39989,7.125661,0.0,9.455851554870605,-7.244033892946192,0.2856779,1.0408919
103,15.264511,10.982268,0.0,22.753191,4.282243,0.0,10.982268333435059,-4.482637605048621,1.5264168,1.2407389
104,14.92728,12.590865,0.0,24.20129,2.3364153,0.0,12.590865135192871,-2.425063038075324,1.6085968,0.08218002
105,14.090132,14.13613,0.0,23.330057,0.045998573,0.0,14.136130332946777,-0.12959469332049878,1.5452654,-0.063331366
106,12.548433,15.364558,0.0,19.326363,2.816125,0.0,15.364558219909668,-2.909230328397447,1.2284276,-0.3168378
107,13.739926,15.274737,0.0,17.03689,1.534811,0.0,15.274737358093262,-1.6711267704669268,-0.08982086,-1.3182485
108,15.60408,14.491192,0.0,17.516079,1.1128883,0.0,14.491191864013672,-1.221438431943323,-0.783545,-0.69372416
109,14.603345,14.154374,0.0,17.101698,0.4489708,0.0,14.154374122619629,-0.5104842432739662,-0.33681786,0.44672716
110,14.602197,13.827133,0.0,17.3606,0.7750635,0.0,13.827133178710938,-0.7923831775668244,-0.3272406,0.009577274
111,15.684526,13.736108,0.0,17.672737,1.9484186,0.0,13.73610782623291,-1.9765911196327135,-0.091024995,0.23621559
112,12.029798,13.763283,0.0,14.676746,1.7334852,0.0,13.763282775878906,-1.7466643062716845,0.027174711,0.118199706
113,14.121033,12.832609,0.0,14.828076,1.2884235,0.0,12.832609176635742,-1.4307416072175965,-0.9306735,-0.9578482
114,17.518717,12.304574,0.0,18.767653,5.214143,0.0,12.304574012756348,-5.280808392926286,-0.5280354,0.40263808
115,12.257047,13.201939,0.0,17.264288,0.9448919,0.0,13.20193862915039,-1.1322999382697514,0.89736485,1.4254003
116,11.835931,13.370386,0.0,15.654571,1.5344553,0.0,13.370386123657227,-1.6157693002925662,0.1684475,-0.72891736
117,16.48529,12.930399,0.0,18.279295,3.5548916,0.0,12.930398941040039,-3.6377335072910952,-0.43998718,-0.6084347
118,10.168758,13.467778,0.0,14.355758,3.2990198,0.0,13.467778205871582,-3.4236251693319986,0.5373795,0.9773667
119,13.807775,12.4663925,0.0,15.891415,1.341382,0.0,12.466392517089844,-1.5453280943724028,-1.0013852,-1.5387647
120,8.942158,12.445908,0.0,12.137184,3.5037498,0.0,12.445907592773438,-3.6028641762755456,-0.020485401,0.9808998
121,12.039684,11.134414,0.0,13.037468,0.9052706,0.0,11.134413719177246,-1.0999459991466445,-1.3114939,-1.2910085
122,15.428514,10.723649,0.0,17.706968,4.7048645,0.0,10.723649024963379,-4.815475665086728,-0.41076493,0.90072894
123,9.930481,11.811518,0.0,15.584216,1.8810368,0.0,11.811517715454102,-2.0852931473048404,1.0878682,1.4986331
124,14.965136,11.95228,0.0,18.798409,3.0128555,0.0,11.952280044555664,-3.1146044360384444,0.14076209,-0.9471061
125,13.9366045,12.920782,0.0,20.083708,1.0158224,0.0,12.920782089233398,-1.1470211974617968,0.96850157,0.8277395
126,11.23368,13.906614,0.0,18.003084,2.6729345,0.0,13.906614303588867,-2.723958776611898,0.9858322,0.017330647
127,14.628631,13.950315,0.0,18.115488,0.67831516,0.0,13.950315475463867,-0.774713683315726,0.043700695,-0.9421315
128,13.339423,14.079891,0.0,16.894306,0.740468,0.0,14.079891204833984,-0.7555342001129386,0.12957597,0.08587527
129,9.5563755,13.749936,0.0,13.150905,4.1935606,0.0,13.7499361038208,-4.256011684396132,-0.32995522,-0.4595312
130,12.554331,12.289554,0.0,13.946318,0.26477718,0.0,12.28955364227295,-0.45083950687619456,-1.4603827,-1.1304275
131,12.211344,11.680231,0.0,15.097937,0.5311127,0.0,11.680231094360352,-0.6466844733553874,-0.6093222,0.8510605
132,11.911847,11.753046,0.0,15.364087,0.15880108,0.0,11.753046035766602,-0.23065503987215763,0.072814465,0.68213665
133,10.187161,11.895308,0.0,14.152151,1.7081461,0.0,11.895307540893555,-1.722203910419232,0.14226174,0.06944728
134,13.69639,11.553142,0.0,16.86079,2.1432486,0.0,11.553141593933105,-2.2088000818990423,-0.3421662,-0.48442793
135,12.012293,12.17395,0.0,17.502733,0.16165733,0.0,12.1739501953125,-0.2889948802887936,0.62080836,0.96297455
136,11.242661,12.790055,0.0,17.13829,1.5473938,0.0,12.790055274963379,-1.5786690788928635,0.6161051,-0.0047032833
137,10.328491,13.06456,0.0,15.312831,2.7360687,0.0,13.064559936523438,-2.7839538240558213,0.27450442,-0.34160066
138,13.642654,12.584094,0.0,17.272633,1.0585604,0.0,12.584094047546387,-1.158080341077893,-0.4804659,-0.7549703
139,13.841452,12.962231,0.0,18.52937,0.87922096,0.0,12.962230682373047,-0.98398778140972,0.3781364,0.8586023
140,13.088801,13.58083,0.0,18.845263,0.49202824,0.0,13.580829620361328,-0.5470043592744798,0.6185994,0.24046302
141,13.618094,14.089022,0.0,18.441877,0.47092724,0.0,14.089021682739258,-0.50737736851584,0.50819206,-0.11040735
142,12.112033,14.291684,0.0,16.908293,2.1796513,0.0,14.2916841506958,-2.2203375284524736,0.20266247,-0.3055296
143,10.150289,13.876247,0.0,13.907533,3.7259588,0.0,13.87624740600586,-3.808540100325107,-0.4154364,-0.61809886
144,8.465702,12.57827,0.0,11.099292,4.112568,0.0,12.578269958496094,-4.2657207629749845,-1.2979772,-0.8825408
