timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-274.59906,3.7920650846223065,135.30646888857945,1.4377184
200,-595.6216,6.346144036825169,294.53826744482444,1.4477507
300,-840.29236,6.984751528793918,416.5322298371732,1.6994352
400,-8422.09,28.73286289529459,4196.5979380461495,0.6530772
500,-411.6998,4.476833266648905,203.48520750121904,1.7089773
600,-508.87,6.235369017747308,251.2197724260377,1.1698865
700,-86.384384,4.731510730822734,40.74159405078268,1.0612862
800,-38.241062,3.0763282722384186,17.486266911755962,1.375455
900,-3.494578,2.739826748319227,0.2838593389390462,1.2607633
1000,-16.058239,2.4277167188783553,6.726283709829422,1.1899718
1100,-11.229453,2.5004370976869637,4.280618401358993,1.1375607
1200,-2.244771,2.034350857546777,0.0,1.5325334
