Parameter,Best Value,MAE_Speed,MAE_Distance,Mean_Absolute_Jerk,Distance_In_Range_Percent
algorithm,SAC,2.0206286907196045,0.1996531768639882,0.4573684632778168,91.75
batch_size,64,2.334897041320801,0.6218137476841609,0.3207299411296844,84.25
chunk_size,200,2.0590689182281494,0.6103145609299342,0.164788469672203,86.0
entropy_coefficient,0.05,2.140692234039306,0.0386772551139195,0.8883097171783447,97.75
gamma,0.9,2.0836641788482666,0.1553076885143915,0.4607662558555603,93.16666666666666
learning_rate,0.0001,1.8476717472076416,2.661578731735548,0.1266382783651352,61.583333333333336
network_architecture,xlarge,1.99650514125824,0.7744794831673304,0.3040069937705993,75.08333333333333
