timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-276.88635,3.474341226996303,136.61557636773713,1.3359843
200,-2130.113,6.397837635627472,1061.7374762987727,1.5903636
300,-245.61758,6.9652627021055356,119.22690294607717,1.4663178
400,-459.71722,4.944022045485491,227.28827647663655,1.3655314
500,-419.48474,5.469257570271569,206.9102164719465,1.252127
600,-88.789505,5.247212487569287,41.68967976737232,1.0358038
700,-235.42305,6.4668754220927145,114.40051489999587,0.84064513
800,-20.88921,3.134475770530429,8.797044567654838,1.049072
900,-39.678406,4.1339266650456405,17.696193239939404,0.89144564
1000,-18.831108,2.9365917010765656,7.866006961336643,1.0754281
1100,-4.270186,2.563102284654665,0.7621075198421203,1.201496
1200,-3.662664,2.3379033092924395,0.5658085124227,1.3248625
