timestep,average_reward,average_speed_error,average_distance_error,average_jerk
100,-273.76428,3.264001120760318,135.15000989090828,1.4804828
200,-965.5745,8.503296272710376,478.4037275721239,1.7935879
300,-712.89795,6.3569484993120025,353.1531795175506,1.5826896
400,-699.76227,12.6353531718972,343.45828697437685,1.387067
500,-15206.421,61.95234235178602,7572.168990827896,0.41382656
600,-22223.428,76.02437581356189,11073.648144436687,0.124759026
700,-289.78043,5.914382207233206,141.83559041019035,1.1194129
800,-31.777004,4.102060079283199,13.760719554740774,0.9166772
900,-3.4950922,2.229565709476277,0.5447985791809333,1.192388
1000,-8.326914,2.786761436615355,2.679180932784888,1.1818241
1100,-4.6566515,2.609883963172742,0.925914148317097,1.3527027
1200,-13.707867,3.072515169895135,5.231381959885784,1.0829041
